Feature,Mean,Std,Median,Min,Max,P25,P75,Dataset
Avg_Fwd_Packets_Per_Second,31191.875,28006.994,21143.643,2824.3037,157247.78,12355.561,34930.63,Known_Attack
Avg_Bwd_Packets_Per_Second,15367.005,22788.686,3267.927,292.7668,113874.68,1656.464,20839.01,Known_Attack
SYN_Count,63.387638,42.996864,53.0,0.0,327.0,33.0,85.0,Known_Attack
RST_Count,406.23456,387.96442,424.0,12.0,1531.0,84.0,523.0,Known_Attack
PSH_Count,1048.4631,395.8732,953.0,199.0,2693.0,768.0,1281.0,Known_Attack
ACK_Count,651.6711,350.6564,557.0,115.0,2065.0,453.0,695.0,Known_Attack
Unique_Destination_Ports,210.39345,80.86653,206.5,52.0,697.0,153.0,256.0,Known_Attack
Unique_Protocols,3.0,0.0,3.0,3.0,3.0,3.0,3.0,Known_Attack
Flow_Count,520.9192,315.93765,465.0,90.0,2958.0,349.0,597.0,Unseen_Benign
Avg_Flow_Duration,1.6336008e+07,3.6281122e+06,1.630293e+07,1.649937e+06,2.5810908e+07,1.3934754e+07,1.8918458e+07,Unseen_Benign
Avg_Fwd_Packets,5.8300285,4.8448505,5.4365025,1.778493,88.33213,4.943333,5.920382,Unseen_Benign
Avg_Bwd_Packets,5.5044484,12.482815,4.460251,1.5812192,220.99005,3.8240986,5.0314465,Unseen_Benign
Avg_Fwd_Bytes,427.52432,132.70776,409.36896,58.453617,1596.9111,351.23383,478.78635,Unseen_Benign
Avg_Bwd_Bytes,2906.2673,17334.262,1265.838,287.5323,315154.9,824.44684,1884.7505,Unseen_Benign
Avg_Bytes_Per_Second,313385.1,217875.52,276806.78,788.77563,1.2882304e+06,160438.72,423742.88,Unseen_Benign
Avg_Packets_Per_Second,43543.8,39998.113,36554.156,3708.2522,411279.7,24013.137,54030.11,Unseen_Benign
Avg_Packet_Length,80.09232,13.422288,80.93237,15.599276,119.52453,72.881775,88.471924,Unseen_Benign
Avg_Packet_Length_Std,112.15006,21.484947,113.11276,21.139318,182.9207,98.21042,125.06374,Unseen_Benign
Avg_Fwd_Packets_Per_Second,36021.727,24876.963,30733.918,2863.5583,207720.0,20032.367,47085.51,Unseen_Benign
Avg_Bwd_Packets_Per_Second,7047.798,18382.02,4616.6084,585.40967,203888.98,3188.079,6355.892,Unseen_Benign
SYN_Count,35.162243,21.101376,32.0,0.0,148.0,20.0,46.0,Unseen_Benign
RST_Count,109.65192,62.091946,96.0,16.0,441.0,65.0,138.0,Unseen_Benign
PSH_Count,202.85516,218.82043,166.0,31.0,2359.0,139.0,214.0,Unseen_Benign
ACK_Count,116.97906,50.361286,109.0,11.0,392.0,83.0,141.0,Unseen_Benign
Unique_Destination_Ports,102.352806,104.52968,90.0,14.0,1131.0,75.0,108.0,Unseen_Benign
Unique_Protocols,3.0,0.0,3.0,3.0,3.0,3.0,3.0,Unseen_Benign
Flow_Count,778.9175,681.7555,602.0,227.0,4797.0,448.0,810.0,Unseen_Infilteration
Avg_Flow_Duration,1.3809198e+07,4.1210078e+06,1.4316555e+07,1.6622839e+06,2.2649574e+07,1.1699946e+07,1.651923e+07,Unseen_Infilteration
Avg_Fwd_Packets,5.8219886,3.5875912,5.1721854,1.5761935,33.277466,4.708447,5.741228,Unseen_Infilteration
Avg_Bwd_Packets,5.50057,5.432217,4.5752506,1.4462482,56.466198,3.8457944,5.389439,Unseen_Infilteration
Avg_Fwd_Bytes,694.5017,1771.7295,385.84177,53.49281,15426.655,327.34875,485.83755,Unseen_Infilteration
Avg_Bwd_Bytes,2640.3042,6526.829,1454.5203,119.968254,61284.312,910.87946,2155.3677,Unseen_Infilteration
Avg_Bytes_Per_Second,317655.28,222594.27,276219.06,21230.127,1.5292338e+06,157526.62,399849.06,Unseen_Infilteration
Avg_Packets_Per_Second,64328.254,87444.38,40081.49,6750.9487,444990.22,28806.477,57070.945,Unseen_Infilteration
Avg_Packet_Length,77.025665,19.305094,80.801506,9.812831,111.50805,71.070175,88.924,Unseen_Infilteration
Avg_Packet_Length_Std,106.01132,26.867315,111.63855,15.424338,150.59105,97.16553,123.23736,Unseen_Infilteration
Avg_Fwd_Packets_Per_Second,46096.883,43536.47,34355.332,5375.1235,224271.86,24355.902,48338.6,Unseen_Infilteration
Avg_Bwd_Packets_Per_Second,17690.068,45437.863,4814.293,1353.5851,220069.02,3446.599,7564.437,Unseen_Infilteration
SYN_Count,48.743168,21.725729,46.0,3.0,129.0,32.0,62.75,Unseen_Infilteration
RST_Count,141.28633,72.61799,130.0,19.0,478.0,93.0,176.0,Unseen_Infilteration
PSH_Count,374.61258,626.15845,216.0,88.0,4341.0,175.0,268.0,Unseen_Infilteration
ACK_Count,144.03716,59.15104,134.5,40.0,461.0,105.0,174.0,Unseen_Infilteration
Unique_Destination_Ports,168.47049,247.779,101.0,43.0,1199.0,82.0,130.0,Unseen_Infilteration
Unique_Protocols,3.0,0.0,3.0,3.0,3.0,3.0,3.0,Unseen_Infilteration
